,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
L0,-1738.46966306446,-1746.30717162852,-1768.2302783999,-1802.82438049798,-1847.52163072284,-1897.68778248926,-1951.24080729238,-2006.84518575051,-2062.58649584374,-2116.76338060623,-2168.34161757984,-2216.84847929938,-2262.16872225245,-2304.38821745514,-2343.69284412617,-2380.30859050021,-2414.46874976513,-2446.39727566595,-2476.30116785278,-2504.36774809874,-2530.76453642982
LL,-1701.21370489905,-1696.1063334113,-1694.85498251856,-1698.41140530621,-1707.50678582007,-1722.29614286482,-1742.95040076901,-1769.86172529148,-1802.97025098591,-1841.28435401983,-1883.13886497553,-1927.03774685233,-1971.72228607446,-2016.2556316127,-2059.99446579979,-2102.48745119023,-2143.45016170912,-2182.74642789178,-2220.3515697164,-2256.30970041508,-2290.69778659227
Lv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
runtime,28.1257119178772,38.4691169261932,39.0179810523987,34.982421875,38.2311160564423,38.6322333812714,39.1729650497437,41.0501849651337,39.7347459793091,40.0240046977997,39.4211649894714,41.3233568668366,42.5516290664673,45.4975740909576,46.4030058383942,42.0988128185272,41.9688959121704,42.5128378868103,38.2703738212585,38.6712489128113,36.5321731567383
gamma,1,0.995,0.99,0.985,0.98,0.975,0.97,0.965,0.96,0.955,0.95,0.945,0.94,0.935,0.93,0.925,0.92,0.915,0.91,0.905,0.9
beta_length_g,-0.322121058742753,-0.335770706460614,-0.350314739995964,-0.368334468979046,-0.386382785597085,-0.403663089037571,-0.420212421457021,-0.435455135363512,-0.447539695784634,-0.455751719838707,-0.460889590875932,-0.463643791841253,-0.464721790932963,-0.464832893359852,-0.464369546505252,-0.463544555155287,-0.46248599038774,-0.461266886610466,-0.459927454151546,-0.458485768908458,-0.456944828944967
se_length_g,0.241086546778155,0.119808384081137,0.050410650419249,0.200897797477249,0.021274986254237,0.048014421100439,0.2827286639804,0.02597153498234,0.138666154302809,0.48405589399151,0.168420214493473,0.557321167131914,0.415086779198587,0.063784371019864,0.324060816833263,0.255077900413622,0.059107982507249,0.055604946102867,0.289575639610526,0.198852288175706,0.05221825704793
t_length_g,-1.33612208166541,-2.80256435336965,-6.94922079129129,-1.83344204667429,-18.161364758585,-8.40712185601849,-1.48627456283015,-16.7666306846941,-3.22746165446637,-0.941527053994926,-2.73654556409435,-0.831914915823594,-1.11957743349525,-7.28756725084101,-1.43297036353575,-1.81726662483746,-7.8244252429191,-8.29542907490894,-1.58828088844124,-2.30566001082844,-8.75067179139188
b0_length_g,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3
beta_crosswalk_g,-0.92680094053012,-0.956208123880197,-0.988283242301492,-1.02011709214349,-1.05495887157037,-1.09220542897171,-1.13203885715945,-1.17433584305871,-1.21696524842785,-1.25646006543491,-1.29247540140627,-1.32403657663224,-1.3494707782884,-1.36949696648301,-1.38525050533902,-1.39772004426853,-1.40781369581649,-1.41625786293772,-1.42358911810687,-1.43015180181045,-1.43610120761785
se_crosswalk_g,1.54032057633869,0.495159743503544,1.91730674435034,2.36283113497916,0.630458939545009,0.447097290701668,0.453184246450732,0.584160267649555,0.324040448130483,0.75590809603572,0.704697607656341,0.643442136315008,0.836542233478367,0.072129420613425,2.4415441228185,1.22494786455598,0.995769197020414,1.01283468697484,0.492773986075018,1.43230310847395,0.403932836371052
t_crosswalk_g,-0.601693540141565,-1.93111038695203,-0.515453901788868,-0.431735081293691,-1.67331891959802,-2.44288089345748,-2.49796603925533,-2.0102973586064,-3.75559673321339,-1.66218627902557,-1.83408512724307,-2.05773993014351,-1.61315319691303,-18.9866625135225,-0.567366566261311,-1.14104451684168,-1.41379518469643,-1.39831097922588,-2.88892912031713,-0.998498008800808,-3.55529701551337
b0_crosswalk_g,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2,-1.2
beta_sidewalklen_g,0.063041707382629,0.065047310474014,0.066995857990817,0.070093201351155,0.073232937862547,0.076346556394345,0.079515337264367,0.082647597312172,0.085896551885019,0.088952531395956,0.091298761137287,0.092898595727909,0.093993204374825,0.09484088391144,0.095582526769757,0.09624984163963,0.096818764372558,0.097259140356154,0.097561115707105,0.09773398325455,0.097796784469828
se_sidewalklen_g,0.123931292618778,0.212635897393373,0.127491489628512,0.3361076775984,0.06822775313361,0.152400157896143,0.093357430800177,0.026870845057973,0.055106806557645,0.267098657610827,0.096073516615991,0.204595396490071,0.274923915733732,0.073492842309969,0.130864917020358,0.162206112363905,0.088476387137518,0.072098315162852,0.048944668893955,0.098430400609699,0.061489069818442
t_sidewalklen_g,0.508682722906389,0.305909356187762,0.525492785330468,0.208543886447326,1.07335995249816,0.500961137103107,0.851730136346218,3.07573495116599,1.5587285355606,0.333032491408337,0.950301023144711,0.454060048865358,0.341888060643872,1.29047783335731,0.730390764355029,0.593379868593954,1.09428930706759,1.34897937817923,1.9932940177506,0.99292477374027,1.59047428687069
b0_sidewalklen_g,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beta_greenlen_g,0.072106167342593,0.080256406980947,0.091327530999316,0.103986232996115,0.119119612387544,0.137229759751229,0.157224697649731,0.17826529313764,0.198534439643372,0.216007960225041,0.229832124857995,0.240576497397035,0.249791830739135,0.257932299321488,0.26507128096768,0.271327435643457,0.276799850601186,0.28151515144902,0.285451139763818,0.288601723404547,0.29100439583946
se_greenlen_g,0.629206901158447,1.77545563308756,0.897410032652887,1.26304183621727,0.922935372624168,1.47263447446909,1.60309348342284,0.239131571565424,0.590134757624311,2.76113574790715,0.263571909801021,2.41617946383974,1.02693424994136,0.052069009058738,0.413624528828801,2.09964547892781,0.184476180812861,0.284190006274201,0.058075423629679,0.897046530842149,0.595848003856619
t_greenlen_g,0.114598500445302,0.045203273731701,0.101767896141452,0.082329998907674,0.129066038555714,0.093186572859978,0.098075813591378,0.745469500203022,0.336422210483934,0.078231561193168,0.871990209546619,0.099568968695196,0.243240334766708,4.95366253332226,0.640850004032023,0.129225356550198,1.50046390477902,0.990587794200616,4.91517963922247,0.321724362652189,0.488386961030225
b0_greenlen_g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mu_g,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
